"","ticker","name","cik","occurrence","date_added","date_removed","name_when_added","name_when_removed"
"558","BHF",NA,NA,1,2017-08-08,2019-04-02,"Brighthouse Financial","Brighthouse Financial"
"559","GT",NA,NA,1,NA,2019-02-27,NA,"The Goodyear Tire & Rubber Company"
"560","NFX",NA,NA,1,2010-12-17,2019-02-15,"Newfield Exploration","Newfield Exploration"
"561","PCG",NA,NA,1,NA,2019-01-18,NA,"Pacific Gas & Electric Company"
"562","SCG",NA,NA,1,NA,2019-01-02,NA,"SCANA"
"563","ESRX",NA,NA,1,2003-09-25,2018-12-24,"Express Scripts","Express Scripts"
"564","COL",NA,NA,1,NA,2018-12-03,NA,"Rockwell Collins"
"565","AET",NA,NA,1,NA,2018-12-03,NA,"Aetna"
"566","SRCL",NA,NA,1,NA,2018-12-03,NA,"Stericycle"
"567","EQT",NA,NA,1,NA,2018-11-13,NA,"EQT"
"568","CA",NA,NA,1,NA,2018-11-06,NA,"CA Technologies"
"569","EVHC",NA,NA,1,2016-12-02,2018-10-11,"Envision Healthcare","Envision Healthcare"
"570","ANDV",NA,NA,1,2017-08-01,2018-10-01,"Andeavor","Andeavor"
"571","TSO",NA,NA,1,2007-09-27,2017-07-31,"Tesoro Corporation","Tesoro Corporation"
"572","XL",NA,NA,1,NA,2018-09-14,NA,"XL Group"
"573","GGP",NA,NA,1,2013-12-10,2018-08-28,"General Growth Properties","GGP"
"574","DPS",NA,NA,1,NA,2018-07-02,NA,"Dr Pepper Snapple Group"
"575","TWX",NA,NA,1,NA,2018-06-20,NA,"Time Warner"
"576","RRC",NA,NA,1,2007-12-20,2018-06-18,"Range Resources","Range Resources"
"577","AYI",NA,NA,1,2016-05-03,2018-06-18,"Acuity Brands","Acuity Brands"
"578","MON",NA,NA,1,NA,2018-06-07,NA,"Monsanto"
"579","NAVI",NA,NA,1,2014-05-01,2018-06-05,"Navient","Navient"
"580","WYN",NA,NA,1,NA,2018-05-31,NA,"Wyndham Worldwide"
"581","CSRA",NA,NA,1,2015-12-01,2018-04-04,"CSRA","CSRA"
"582","SIG",NA,NA,1,2015-07-29,2018-03-19,"Signet Jewelers","Signet Jewelers"
"583","PDCO",NA,NA,1,NA,2018-03-19,NA,"Patterson Companies"
"584","CHK",NA,NA,1,NA,2018-03-19,NA,"Chesapeake Energy"
"585","SNI",NA,NA,1,NA,2018-03-07,NA,"Scripps Networks Interactive"
"586","BCR",NA,NA,1,NA,2018-01-03,NA,"CR Bard"
"587","LVLT",NA,NA,1,2014-11-05,2017-10-13,"Level 3 Communications","Level 3 Communications"
"588","SPLS",NA,NA,1,NA,2017-09-18,NA,"Staples"
"589","DOW",NA,NA,1,NA,2017-09-01,NA,"Dow Chemical Company"
"590","DD",NA,NA,1,NA,2017-09-01,NA,"DuPont"
"591","WFM",NA,NA,1,NA,2017-08-29,NA,"Whole Foods Market"
"592","AN",NA,NA,1,NA,2017-08-08,NA,"AutoNation"
"593","RIG",NA,NA,1,2013-10-29,2017-07-26,"Transocean","Transocean"
"594","BBBY",NA,NA,1,NA,2017-07-26,NA,"Bed Bath & Beyond"
"595","MUR",NA,NA,1,NA,2017-07-26,NA,"Murphy Oil"
"596","MNK",NA,NA,1,2014-08-18,2017-07-26,"Mallinckrodt","Mallinckrodt"
"597","RAI",NA,NA,1,NA,2017-07-26,NA,"Reynolds American"
"598","YHOO",NA,NA,1,1999-12-07,2017-06-19,"Yahoo!","Yahoo!"
"599","TDC",NA,NA,1,2007-10-01,2017-06-19,"Teradata","Teradata"
"600","R",NA,NA,1,NA,2017-06-19,NA,"Ryder System"
"601","MJN",NA,NA,1,2009-12-18,2017-06-19,"Mead Johnson Nutrition","Mead Johnson"
"602","TGNA",NA,NA,1,NA,2017-06-02,NA,"Tegna"
